,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,TIPO_DE_CALLE,COMUNA,pos x,pos y,PARTICIPANTES,VICTIMA,ACUSADO
91,2016-0118,1,2016-09-04,2016,9,4,03:30:00,3.0,autopista,1,-58.37936704,-34.62694503,auto-auto,auto,auto
92,2016-0119,1,2016-09-04,2016,9,4,06:40:00,6.0,avenida,12,-58.49659234,-34.56353635,,,
93,2016-0122,1,2016-09-13,2016,9,13,07:10:00,7.0,avenida,9,-58.47256391,-34.65194557,bicicleta-pasajeros,bicicleta,pasajeros
94,2016-0123,1,2016-09-14,2016,9,14,09:00:00,9.0,avenida,7,-58.45130953,-34.64053676,moto-auto,moto,auto
95,2016-0124,1,2016-09-16,2016,9,16,15:24:00,15.0,avenida,7,-58.46271207,-34.62884871,peaton-pasajeros,peaton,pasajeros
96,2016-0125,1,2016-09-17,2016,9,17,12:14:00,12.0,autopista,10,-58.49020869,-34.64243791,moto-moto,moto,moto
97,2016-0126,2,2016-09-18,2016,9,18,22:45:00,22.0,calle,10,-58.52572109,-34.62125906,auto-cargas,auto,cargas
98,2016-0127,1,2016-09-24,2016,9,24,10:25:00,10.0,avenida,8,-58.44094791,-34.66677111,peaton-pasajeros,peaton,pasajeros
99,2016-0128,1,2016-10-02,2016,10,2,11:30:00,11.0,avenida,5,-58.41914024,-34.63053890,peaton-pasajeros,peaton,pasajeros
100,2016-0130,1,2016-10-04,2016,10,4,12:30:00,12.0,autopista,1,-58.37910942,-34.62764717,moto-cargas,moto,cargas
101,2016-0131,1,2016-10-09,2016,10,9,19:13:00,19.0,calle,4,-58.39871183,-34.64539318,peaton-auto,peaton,auto
102,2016-0132,1,2016-10-10,2016,10,10,02:30:00,2.0,avenida,3,-58.41036975,-34.62477021,auto-pasajeros,auto,pasajeros
103,2016-0133,1,2016-10-14,2016,10,14,00:05:00,0.0,avenida,14,-58.40204698,-34.58342690,moto-auto,moto,auto
104,2016-0134,1,2016-10-23,2016,10,23,05:00:00,5.0,avenida,8,-58.48935287,-34.67648597,moto-objeto fijo,moto,objeto fijo
105,2016-0135,1,2016-10-24,2016,10,24,05:00:00,5.0,avenida,14,-58.42260225,-34.56403694,peaton-sd,peaton,
